tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58532578,1888,58532.649832469,-0.10808247,-0.14316878,0.00431830,-0.98376942
58532796,1903,58532.858168469,-0.10815291,-0.14319268,0.00431586,-0.98375821
58533000,1917,58533.047127049,-0.10806429,-0.14319171,0.00438336,-0.98376781
58533203,1932,58533.255462749,-0.10810120,-0.14316870,0.00440104,-0.98376697
58533406,1947,58533.463797749,-0.10812791,-0.14327976,0.00434782,-0.98374814
58533609,1962,58533.672133449,-0.10809567,-0.14324261,0.00437307,-0.98375702
58533812,1977,58533.880469449,-0.10819847,-0.14318293,0.00426815,-0.98375481
58534015,1991,58534.075718526,-0.10819412,-0.14317495,0.00433948,-0.98375612
58534234,2006,58534.284054426,-0.10821206,-0.14322387,0.00431135,-0.98374718
58534437,2020,58534.492390426,-0.10817724,-0.14320594,0.00434968,-0.98375350
58534640,2034,58534.700725926,-0.10817919,-0.14322706,0.00435278,-0.98375016
58534843,2048,58534.896112380,-0.10816533,-0.14318137,0.00426903,-0.98375869
58535046,2063,58535.104447780,-0.10817067,-0.14318895,0.00424329,-0.98375714
58535250,2078,58535.312783580,-0.10810756,-0.14315602,0.00435971,-0.98376834
58535453,2093,58535.521119480,-0.10811392,-0.14319666,0.00430058,-0.98376197
58535656,2106,58535.715566080,-0.10816383,-0.14320001,0.00438025,-0.98375565
58535859,2121,58535.923760490,-0.10822786,-0.14320813,0.00433429,-0.98374766
58536078,2136,58536.132095690,-0.10816546,-0.14319283,0.00432197,-0.98375678
58536281,2151,58536.340431490,-0.10811523,-0.14317110,0.00436156,-0.98376530
58536484,2165,58536.534878190,-0.10813046,-0.14316514,0.00434913,-0.98376453
58536687,2180,58536.743213890,-0.10814402,-0.14313431,0.00436982,-0.98376751
58536890,2195,58536.951379931,-0.10814000,-0.14310369,0.00438329,-0.98377228
58537093,2207,58537.131937031,-0.10815531,-0.14318159,0.00439405,-0.98375922
58537296,2221,58537.348532931,-0.10815033,-0.14314561,0.00435679,-0.98376518
58537515,2236,58537.581926865,-0.10816959,-0.14311701,0.00442029,-0.98376697
58537718,2250,58537.787659561,-0.10809562,-0.14318106,0.00432206,-0.98376626
58537921,2263,58537.965831352,-0.10809508,-0.14322481,0.00443125,-0.98375940
58538125,2278,58538.187426976,-0.10807108,-0.14323808,0.00438491,-0.98376030
58538328,2293,58538.394330873,-0.10808495,-0.14324534,0.00432288,-0.98375797
58538531,2308,58538.601969845,-0.10807444,-0.14319433,0.00439774,-0.98376632
58538734,2322,58538.796415945,-0.10806459,-0.14323542,0.00437520,-0.98376143
58538937,2337,58539.010902513,-0.10805698,-0.14319617,0.00445396,-0.98376763
58539156,2352,58539.219237913,-0.10809886,-0.14317833,0.00433262,-0.98376626
58539359,2367,58539.427573313,-0.10809951,-0.14319240,0.00438496,-0.98376387
58539562,2381,58539.622019713,-0.10810508,-0.14320786,0.00439657,-0.98376089
58539765,2396,58539.830356813,-0.10809604,-0.14317197,0.00440729,-0.98376709
58539968,2410,58540.033060175,-0.10814702,-0.14315997,0.00438056,-0.98376334
58540171,2425,58540.241395475,-0.10813355,-0.14318140,0.00439097,-0.98376161
58540375,2440,58540.449731375,-0.10816550,-0.14316639,0.00432651,-0.98376060
58540578,2454,58540.644177875,-0.10814167,-0.14322846,0.00429684,-0.98375434
58540796,2469,58540.852513175,-0.10812178,-0.14317654,0.00428753,-0.98376411
58541000,2484,58541.059227026,-0.10812073,-0.14322720,0.00433981,-0.98375660
58541203,2499,58541.267562726,-0.10815237,-0.14321706,0.00433050,-0.98375469
58541406,2512,58541.462013326,-0.10809222,-0.14318271,0.00435122,-0.98376626
58541609,2525,58541.664357326,-0.10816143,-0.14321423,0.00433974,-0.98375404
