tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58839546,19723,58839.607299263,-0.10812147,-0.14287281,0.00424397,-0.98380852
58839562,19724,58839.621188263,-0.10807023,-0.14287631,0.00421249,-0.98381370
58839578,19725,58839.635077463,-0.10810007,-0.14291398,0.00419334,-0.98380506
58839578,19726,58839.648966363,-0.10809774,-0.14290306,0.00424755,-0.98380667
58839593,19727,58839.662855463,-0.10807317,-0.14288773,0.00421120,-0.98381180
58839609,19728,58839.676744563,-0.10809409,-0.14285597,0.00423011,-0.98381406
58839625,19729,58839.690633663,-0.10809626,-0.14287449,0.00426372,-0.98381096
58839640,19730,58839.704522663,-0.10805720,-0.14289989,0.00427521,-0.98381144
58839656,19731,58839.718411763,-0.10807179,-0.14288585,0.00421667,-0.98381215
58839671,19732,58839.732300763,-0.10809145,-0.14286397,0.00419448,-0.98381335
58839671,19733,58839.746189763,-0.10805728,-0.14290774,0.00422921,-0.98381054
58839687,19734,58839.760078663,-0.10807950,-0.14284159,0.00427269,-0.98381758
58839718,19735,58839.773967563,-0.10805092,-0.14292097,0.00426963,-0.98380917
58839718,19736,58839.787856663,-0.10811269,-0.14284492,0.00421432,-0.98381364
58839734,19737,58839.801745863,-0.10812943,-0.14287072,0.00431824,-0.98380762
58839750,19738,58839.815635063,-0.10806327,-0.14284950,0.00418857,-0.98381847
58839765,19739,58839.829523963,-0.10805144,-0.14285654,0.00424729,-0.98381853
58839781,19740,58839.843412863,-0.10807106,-0.14282669,0.00427394,-0.98382056
58839781,19741,58839.857302063,-0.10806159,-0.14290683,0.00431753,-0.98380983
58839796,19742,58839.871267639,-0.10806414,-0.14288995,0.00427554,-0.98381215
58839812,19743,58839.885156639,-0.10806096,-0.14282902,0.00432818,-0.98382109
58839828,19744,58839.899045639,-0.10803520,-0.14289117,0.00428034,-0.98381513
58839843,19745,58839.912934539,-0.10803141,-0.14288633,0.00430498,-0.98381615
58839859,19746,58839.926823439,-0.10806441,-0.14287055,0.00425011,-0.98381507
58839875,19747,58839.940712439,-0.10806630,-0.14283401,0.00427351,-0.98382014
58839890,19748,58839.954601639,-0.10806721,-0.14286135,0.00427995,-0.98381597
58839906,19749,58839.968490839,-0.10809443,-0.14286421,0.00429024,-0.98381257
58839921,19750,58839.982379939,-0.10804176,-0.14285916,0.00429617,-0.98381901
58839937,19751,58839.996269039,-0.10807189,-0.14289658,0.00427961,-0.98381042
58839937,19752,58840.010158139,-0.10807764,-0.14290379,0.00425765,-0.98380876
58839953,19753,58840.024047139,-0.10808565,-0.14290959,0.00423868,-0.98380709
58839968,19754,58840.037936339,-0.10808291,-0.14294025,0.00424143,-0.98380297
58839984,19755,58840.051825439,-0.10808406,-0.14285868,0.00427722,-0.98381454
58840000,19756,58840.065714539,-0.10808242,-0.14290886,0.00428177,-0.98380738
58840015,19757,58840.079603739,-0.10809073,-0.14292531,0.00423110,-0.98380429
58840031,19758,58840.093492739,-0.10809163,-0.14286371,0.00427067,-0.98381299
58840046,19759,58840.107381939,-0.10812327,-0.14289989,0.00425252,-0.98380435
58840062,19760,58840.121271039,-0.10810409,-0.14287525,0.00421913,-0.98381013
58840078,19761,58840.135159939,-0.10812785,-0.14289571,0.00423048,-0.98380446
58840078,19762,58840.149049039,-0.10808959,-0.14290124,0.00433292,-0.98380750
